"time","rev.phi","rev.w"
0,0,0
0.01,-9.752110835132235e-4,-0.19496302970410784
0.02,-0.003895863368354152,-0.3891502982706474
0.03,-0.008754636788601214,-0.5825617364350218
0.04,-0.015543992927360403,-0.7751931594213085
0.05,-0.024255824474940263,-0.9670349096445527
0.06,-0.03488202754978809,-1.1580668993521737
0.07,-0.04741435119708346,-1.3482591608506387
0.08,-0.06184424853665106,-1.5375702457696012
0.09,-0.07816263949095557,-1.7259425180728638
0.1,-0.09635974541500349,-1.9133012075669449
0.11,-0.11642491626502394,-2.0995534240069014
0.12,-0.13834653629675533,-2.284586879765275
0.13,-0.16211185958453167,-2.468268556150011
0.14,-0.18770652752064904,-2.650440690358422
0.15,-0.21511456496343587,-2.830921882927834
0.16,-0.24431810994226336,-3.009505332866342
0.17,-0.27529703403888445,-3.1859572411727948
0.18,-0.30802874753468873,-3.36001691964371
0.19,-0.34248786558855454,-3.5313962202522053
0.2,-0.3786461704471993,-3.699779863642325
0.21,-0.41647205154255484,-3.864825447236649
0.22,-0.45593020649380933,-4.0261646154208215
0.23,-0.4969816771963918,-4.183404259287226
0.24,-0.5395833546423394,-4.336128166253466
0.25,-0.5836878289230405,-4.48389961318294
0.26,-0.6292434004000951,-4.626264273122351
0.27,-0.6761936145857617,-4.762753419523473
0.28,-0.7244773459831648,-4.8928878010645
0.29,-0.7740286745852644,-5.016182194009252
0.3,-0.824776699204791,-5.132150030882257
0.31,-0.8766457940459409,-5.240309061968026
0.32,-0.9295554740285055,-5.340186403764211
0.33,-0.9834205749627553,-5.431324631005059
0.34,-1.0381515660270912,-5.513288086828955
0.35,-1.0936545910745048,-5.585668077376969
0.36,-1.1498319365906982,-5.648089199646527
0.37,-1.2065823548864985,-5.700215162446754
0.38,-1.2638013915967736,-5.74175279456605
0.39,-1.3213817362020654,-5.77245863964002
0.4,-1.379214191505122,-5.792140089038206
0.41,-1.4371876020516912,-5.800662882741665
0.42,-1.4951900824097673,-5.797947224897506
0.43,-1.5531090392237201,-5.783977099496616
0.44,-1.6108321701787252,-5.758791514772839
0.45,-1.6682477782866716,-5.722492906969946
0.46,-1.7252454831065316,-5.675239286221293
0.47,-1.7817167415872526,-5.617244421236039
0.48,-1.8375554337596882,-5.54877616341482
0.49,-1.8926583173741696,-5.4701478142697395
0.5,-1.9469255901418074,-5.381719249823689
0.51,-2.0002611779437505,-5.283886367762868
0.52,-2.0525731727429126,-5.17707924793544
0.53,-2.103774144669076,-5.061754813312258
0.54,-2.1537812144120574,-4.938390845584172
0.55,-2.2025165484141533,-4.807481253453063
0.56,-2.2499071207567405,-4.669529109872016
0.57,-2.2958850884614064,-4.525042074216982
0.58,-2.340387645493919,-4.374526628213282
0.59,-2.3833569533627297,-4.218484449992786
0.6,-2.424740309288396,-4.057406244630795
