"time","rev.phi","rev.w"
0.61,-2.464489679158017,-3.891770616233972
0.62,-2.5025618681100994,-3.722038270309158
0.63,-2.5389181103388725,-3.54865138575561
0.64,-2.5735239741773404,-3.372030797462589
0.65,-2.6063491550738402,-3.192573377417217
0.66,-2.637367142219717,-3.0106533771676007
0.67,-2.6665550983747637,-2.8266186480625315
0.68,-2.6938935000573188,-2.6407933983167338
0.69,-2.719365963422733,-2.453476339470051
0.7,-2.7429589579684026,-2.2649418345133165
0.71,-2.7646615896643207,-2.0754414573654243
0.72,-2.784465349936405,-1.8852032506407987
0.73,-2.802363924356915,-1.6944351523134438
0.74,-2.8183529613010916,-1.5033247441229602
0.75,-2.8324298955313325,-1.3120418662551234
0.76,-2.8445938043701537,-1.1207402206222608
0.77,-2.8548451743835344,-0.9295586191729044
0.78,-2.8631858769614285,-0.7386238257883189
0.79,-2.869618944944872,-0.5480517113692844
0.8,-2.874148557233519,-0.3579497970626227
0.81,-2.8767799349678795,-0.1684189837126262
0.82,-2.8775192486722276,0.020444361718332894
0.83,-2.8763736753870863,0.20854636903618415
0.84,-2.8733512627977964,0.3957937318553607
0.85,-2.86846104928363,0.5820917457899034
0.86,-2.861713009448713,0.767342427522495
0.87,-2.8531181155329257,0.9514426109974398
0.88,-2.8426884432831536,1.1342823557219577
0.89,-2.830437149649668,1.3157429406142491
0.9,-2.8163786859522024,1.4956956547204394
0.91,-2.8005288080272575,1.6739999719919092
0.92,-2.7829047554827775,1.850502343686891
0.93,-2.7635253918535923,2.0250351834635
0.94,-2.742411289690838,2.197415162430825
0.95,-2.7195849798581255,2.367443250870674
0.96,-2.695071033049546,2.5349031257921433
0.97,-2.668896290698048,2.699561405512431
0.98,-2.6410900082528515,2.8611672761302454
0.99,-2.6116840345053336,3.019452035887016
1,-2.580712994552113,3.1741306313005695
1.01,-2.5482144466211167,3.324900772807621
1.02,-2.5142290475896494,3.471445481831102
1.03,-2.4788006942899212,3.6134334039145397
1.04,-2.4419766744299003,3.750520663589478
1.05,-2.403807732091489,3.8823538343164805
1.06,-2.3643482434218326,4.008570454842697
1.07,-2.32365617824548,4.128804022069033
1.08,-2.281793229092675,4.242685130523921
1.09,-2.2388247710207083,4.349845897138327
1.1,-2.1948197832725933,4.449923598820651
1.11,-2.1498509437421065,4.542563219445445
1.12,-2.1039942966072385,4.627423115161043
1.13,-2.0573293304947047,4.704177414640815
1.14,-2.0099386276985007,4.772521100645248
1.15,-1.9619077030670538,4.832173181500655
1.16,-1.9133248108727212,4.882880887204689
1.17,-1.8642804706932592,4.924422599391435
1.18,-1.8148673668777653,4.956611767882183
1.19,-1.7651797676266685,4.9792987571581175
1.2,-1.7153132924914318,4.992373693318895
1.21,-1.6653644506733818,4.995768443627075
1.22,-1.6154301842612095,4.989456259925659
1.23,-1.5656075427363607,4.973455210337068
1.24,-1.5159931318755873,4.947824683801906
1.25,-1.4666827792704806,4.9126677245525014
1.26,-1.4177710546255542,4.868128114673349
1.27,-1.3693509195420481,4.81438812583518
1.28,-1.321513278380007,4.751668927977043
1.29,-1.2743467088506446,4.680223920978285
1.3,-1.2279370381319545,4.600339196009413
1.31,-1.1823671282787223,4.512327446385922
1.32,-1.137716601258222,4.416525583936646
1.33,-1.0940615414481505,4.3132909127286245
1.34,-1.0514744808789798,4.202996360620249
1.35,-1.01002403707778,4.086027672300872
1.36,-0.9697750258960031,3.9627786848126214
1.37,-0.9307882460209154,3.833648301821337
1.38,-0.8931204880909451,3.699036522754963
1.39,-0.8568246216215107,3.559341982670109
1.4,-0.8219494395314421,3.41495788853949
1.41,-0.788539944226855,3.2662708320896074
1.42,-0.7566372452451972,3.1136572759705725
1.43,-0.7262787735406276,2.9574823341398324
1.44,-0.6974983948770405,2.7980986205626794
1.45,-0.6703264618514995,2.6358433654303304
1.46,-0.6447900888089805,2.47103990467227
1.47,-0.6209131924682622,2.303994862468624
1.48,-0.5987167287405409,2.134999553914581
1.49,-0.5782188094997216,1.9643292693147225
1.5,-0.5594348749865875,1.7922431905515144
1.51,-0.5423778473726841,1.6189860708195145
1.52,-0.5270582807787613,1.4447873662246242
1.53,-0.5134844959033606,1.2698635901082052
1.54,-0.5016627152706227,1.0944183197794926
1.55,-0.49159719171879374,0.9186437319146684
1.56,-0.48329028397471246,0.742722076192065
1.57,-0.4767426113103671,0.5668263589096535
1.58,-0.4719530627603924,0.3911225311141091
1.59,-0.4689189272023414,0.21577030431287508
1.6,-0.4676359115764876,0.040924996338840725
1.61,-0.46809816413754585,-0.13326111709511546
1.62,-0.47029836719144824,-0.30663738020726417
1.63,-0.47422764536841594,-0.479053193558242
1.64,-0.47987565563184387,-0.6503566661842572
1.65,-0.48723049646394434,-0.8203932255491184
1.66,-0.4962787046739076,-0.9890043849981381
1.67,-0.5070052282120291,-1.1560263483228497
1.68,-0.5193933110626373,-1.3212892149258169
1.69,-0.5334245016852214,-1.4846155242643426
1.7,-0.5490785016742565,-1.6458198284472332
1.71,-0.566333131035863,-1.8047076402251119
1.72,-0.5851642163205182,-1.9610748473417503
1.73,-0.6055454814747194,-2.1147077155865346
1.74,-0.6274484810214388,-2.2653818121703
1.75,-0.6508424576558415,-2.412863005123825
1.76,-0.6756942725786319,-2.5569067418256948
1.77,-0.7019682857171723,-2.6972589285314506
1.78,-0.7296262798303285,-2.833656808480137
1.79,-0.758627352869058,-2.9658287508676553
1.8,-0.7889278707684871,-3.093496912714576
1.81,-0.8204813703486951,-3.2163770830342715
1.82,-0.8532385376280147,-3.3341813958294995
1.83,-0.8871471732278985,-3.446619669516327
1.84,-0.9221521415558781,-3.553401106790841
1.85,-0.9581954589735963,-3.6542374791280885
1.86,-0.9952162165007691,-3.7488442191840115
1.87,-1.0331507457296043,-3.836944173630186
1.88,-1.0719326244969771,-3.9182693400575284
1.89,-1.1114927979537963,-3.992563928509309
1.9,-1.1517597803835389,-4.059587061344718
1.91,-1.192659675342998,-4.119115157822788
1.92,-1.234116534688287,-4.170944776766414
1.93,-1.2760524243617102,-4.214894864127981
1.94,-1.31838774474199,-4.25080916795085
1.95,-1.3610414945778568,-4.278557738810307
1.96,-1.403931444502738,-4.298039706472136
1.97,-1.4469745781482442,-4.309183240432242
1.98,-1.4900872578389286,-4.311948122874866
1.99,-1.5331856371107089,-4.306325254035551
2,-1.5761859246553,-4.292337357402013
2.01,-1.6190047138485775,-4.2700396052155405
2.02,-1.6615593119478078,-4.239517414919217
2.03,-1.703768033472698,-4.200887906450319
2.04,-1.745550508209574,-4.154296397536788
2.05,-1.7868279593428213,-4.099916464040507
2.06,-1.827523490988332,-4.0379475521316905
2.07,-1.8675622837935268,-3.9686122763973866
2.08,-1.9068719147216238,-3.892155644262649
2.09,-1.9453824444895642,-3.808840759776133
2.1,-1.9830266969658865,-3.7189477484585867
2.11,-2.0197403535723595,-3.6227702057512943
2.12,-2.0554620511432966,-3.520612899418941
2.13,-2.0901336034389675,-3.4127892414017587
2.14,-2.1236998963786697,-3.2996185489196437
2.15,-2.1561091071207628,-3.1814237115499098
2.16,-2.187312600164155,-3.0585289341775437
2.17,-2.217264987707604,-2.931257754655108
2.18,-2.2459241372669676,-2.7999307085156095
2.19,-2.2732510453114894,-2.6648644696119455
2.2,-2.2992099087392064,-2.5263692769221047
2.21,-2.323767942374007,-2.384748835782656
2.22,-2.346895385480107,-2.2402985199440777
2.23,-2.368565383421714,-2.093304797803672
2.24,-2.3887538845557454,-1.9440452226922038
2.25,-2.4074395888004974,-1.7927868885540665
2.26,-2.424603796240718,-1.6397877528623914
2.27,-2.440230350551359,-1.485295442974899
2.28,-2.454305515818654,-1.3295481950260815
2.29,-2.466817898253562,-1.172775212120217
2.3,-2.4777583431730124,-1.015196457317606
2.31,-2.487119866191742,-0.8570243519968654
2.32,-2.4948975571825054,-0.6984635007382578
2.33,-2.501088526902923,-0.5397122226926774
2.34,-2.505691841988998,-0.38096306390003937
2.35,-2.5087084554395864,-0.22240372561327634
2.36,-2.5101412020066243,-0.06421827187267865
2.37,-2.5099947130501983,0.09341222746109294
2.38,-2.50827544561934,0.25030840774898716
2.39,-2.504991632085814,0.40629185260740974
2.4,-2.500153286307209,0.5611840164927439
2.41,-2.4937722309708743,0.714805437901269
2.42,-2.485862061201826,0.8669747325437156
2.43,-2.476438228370325,1.0175080072319354
2.44,-2.46551801762684,1.166217967192059
2.45,-2.4531206151056617,1.312913396989485
2.46,-2.4392671475268393,1.4573988069657977
2.47,-2.423980702423606,1.5994735769061748
2.48,-2.407286417462142,1.7389323658490752
2.49,-2.389211495871366,1.8755643061764233
2.5,-2.3697852843493257,2.0091535532719575
2.51,-2.349039308372498,2.1394792662017914
2.52,-2.327007329568727,2.2663156849565382
2.53,-2.303725382167134,2.3894333055086427
2.54,-2.2792318231356092,2.508598615631342
2.55,-2.2535673491916905,2.623575859981014
2.56,-2.226775028154512,2.7341273775187327
2.57,-2.198900315172568,2.840014948660854
2.58,-2.169991021175738,2.9410014435101157
2.59,-2.140097356702187,3.036851436004334
2.6,-2.109271829365871,3.1273337619800956
2.61,-2.077569262784436,3.212222330865263
2.62,-2.0450466978823023,3.291298379688491
2.63,-2.0117632952333797,3.364352158826084
2.64,-1.9777803157261122,3.4311844847251436
2.65,-1.9431608879364344,3.4916089829610746
2.66,-1.907969987625707,3.5454535243876437
2.67,-1.8722741978134145,3.592562179746957
2.68,-1.8361415787618784,3.6327966422643674
2.69,-1.7996415031066304,3.6660380251911886
2.7,-1.7628443874642228,3.6921877214886214
2.71,-1.7258215753916974,3.7111692443458617
2.72,-1.6886450224939864,3.7229284563913185
2.73,-1.6513871314324635,3.727434812460001
2.74,-1.6141204863345646,3.7246817988398564
2.75,-1.5769176065889674,3.71468654555163
2.76,-1.5398507344598105,3.6974910974790376
2.77,-1.5029915603455963,3.6731605494985278
2.78,-1.466411012575398,3.6417839019934584
2.79,-1.4301790098258156,3.6034724798817614
2.8,-1.394364263373316,3.558358880394179
2.81,-1.359034028742871,3.506596790674935
2.82,-1.3242539612773117,3.4483581120140885
2.83,-1.2900878766682657,3.3838328744018806
2.84,-1.2565976308543205,3.3132265327601598
2.85,-1.2238429542477567,3.236758796668136
2.86,-1.1918812896982125,3.1546617982142924
2.87,-1.160767752236954,3.0671779717890493
2.88,-1.1305549309608909,2.9745586536560205
2.89,-1.1012929142390349,2.8770619317408217
2.9,-1.073029155947994,2.7749511703654504
2.91,-1.0458084551608715,2.6684931592200734
2.92,-1.019672964886112,2.557956847853662
2.93,-0.9946620913911431,2.443611462830335
2.94,-0.9708126035609449,2.3257257624659586
2.95,-0.9481585546992811,2.204566362912534
2.96,-0.9267313616950128,2.0803970187692213
2.97,-0.9065598323589746,1.9534779108515241
2.98,-0.8876701655556698,1.824064261590305
2.99,-0.8700860640644101,1.692406771745978
3,-0.8538287267398923,1.558750232193743
3.01,-0.8389169480821256,1.423334012521155
3.02,-0.8253671522933086,1.2863915787644629
3.03,-0.8131934578081221,1.148150350147082
3.04,-0.8024077399272734,1.008832350705308
3.05,-0.7930196805888682,0.868653667310268
3.06,-0.7850368269450436,0.727825495861249
3.07,-0.7784646388001697,0.5865539989479055
3.08,-0.7733065399692288,0.4450409707602052
3.09,-0.7695639468840446,0.3034844356244406
3.1,-0.7672363278020514,0.16207886084282408
3.11,-0.7663212051009592,0.02101613509250846
3.12,-0.766814205578772,-0.1195141742812963
3.13,-0.7687090645140416,-0.2593240267344465
3.14,-0.7719976347265693,-0.3982264306425154
3.15,-0.776669919796626,-0.5360348434545275
3.16,-0.7827140376916176,-0.6725626813533944
3.17,-0.7901162553203027,-0.8076227741433929
3.18,-0.798860952086343,-0.9410270039006372
3.19,-0.8089306226729159,-1.0725859452047228
3.2,-0.820305864350687,-1.2021084368117902
3.21,-0.8329653447385177,-1.329401669641944
3.22,-0.8468858033848342,-1.454270655905193
3.23,-0.8620420124940344,-1.5765186412066907
3.24,-0.8784067717160049,-1.6959468809689235
3.25,-0.8959508814698294,-1.812354898879126
3.26,-0.9146431343189356,-1.9255410483586182
3.27,-0.9344502943828451,-2.0353023566358925
3.28,-0.955337101452822,-2.1414357646074293
3.29,-0.9772662581424343,-2.243738148574367
3.3,-1.0001984409240314,-2.342007437215524
3.31,-1.0240923251967315,-2.436043487540785
3.32,-1.048904573654224,-2.5256485854886814
3.33,-1.0745899187872419,-2.61062915901306
3.34,-1.1011011541505007,-2.690796226584862
3.35,-1.128389230516113,-2.7659670650011914
3.36,-1.1564033058454664,-2.835966155745449
3.37,-1.185090806192331,-2.9006264482808444
3.38,-1.2143975677100867,-2.9597907557066034
3.39,-1.2442678692059999,-3.0133127983509436
3.4,-1.2746446207986146,-3.0610585886436215
3.41,-1.305469439860745,-3.102907467377903
3.42,-1.3366828080476258,-3.1387533234914184
3.43,-1.3682242439112882,-3.1685053636088614
3.44,-1.4000324039755194,-3.1920894019869617
3.45,-1.4320453222543406,-3.2094481303134903
3.46,-1.4642005239343965,-3.2205422126550016
3.47,-1.49643524316788,-3.2253505023014077
3.48,-1.5286865981874622,-3.2238701956322253
3.49,-1.5608917605535682,-3.216117673462588
3.5,-1.592988171275532,-3.202127461508548
3.51,-1.6249137018696287,-3.181953075760044
3.52,-1.6566068547210009,-3.155665853186616
3.53,-1.6880069292899311,-3.1233548183451467
3.54,-1.7190542099893962,-3.085126184401983
3.55,-1.7496901095055253,-3.041101914951946
3.56,-1.7798573575195804,-2.9914196944304794
3.57,-1.8095001136353386,-2.9362310065568793
3.58,-1.838564128940709,-2.8757006564204164
3.59,-1.8669968675888966,-2.8100053023781126
3.6,-1.894747590898059,-2.739332149159673
3.61,-1.9217675192373527,-2.663878012961684
3.62,-1.9480098430546984,-2.5838476425021772
3.63,-1.97342986525621,-2.499452771907091
3.64,-1.99798502334392,-2.4109106787062884
3.65,-2.0216349363221364,-2.3184431492369253
3.66,-2.044341494813556,-2.2222751530088165
3.67,-2.066068809540391,-2.122634017794835
3.68,-2.086783306652586,-2.019748163362269
3.69,-2.1064536756475922,-1.9138464431951274
3.7,-2.1250508987232446,-1.8051572525609947
3.71,-2.1425482469763057,-1.6939076650312825
3.72,-2.1589212334796013,-1.580323231432827
3.73,-2.174147638914901,-1.464626906478044
3.74,-2.188207441414315,-1.3470392302927288
3.75,-2.2010828203730064,-1.227777599275377
3.76,-2.2127581105887497,-1.1070562006533742
3.77,-2.223219768489289,-0.9850860740355015
3.78,-2.232456350574323,-0.8620745876794275
3.79,-2.240458464810842,-0.7382260683323529
3.8,-2.247218749145468,-0.613741388230529
3.81,-2.2527318326158183,-0.4888184325735233
3.82,-2.256994311647077,-0.3636522501758146
3.83,-2.260004714401563,-0.23843509626800066
3.84,-2.2617634862360987,-0.11335703459303677
3.85,-2.2622729558981014,0.01139407810164504
3.86,-2.2615373262755645,0.13563206066255487
3.87,-2.259562654081892,0.2591722334889851
3.88,-2.256356832384577,0.38183106418183804
3.89,-2.2519295930419223,0.5034259051340768
3.9,-2.246292482548999,0.623774718361829
3.91,-2.2394588777253674,0.7426959158477039
3.92,-2.2314439578228393,0.8600080268743377
3.93,-2.2222647270960794,0.9755299315488385
3.94,-2.211939983875566,1.0890801385757858
3.95,-2.2004903620225438,1.2004774762277188
3.96,-2.187938287204959,1.3095401957797517
3.97,-2.1743080088412254,1.4160871013480014
3.98,-2.159625589171238,1.5199369847025854
3.99,-2.143918896399524,1.6209091729487577
4,-2.1272176070754245,1.718824705617424
4.01,-2.1095531969768566,1.8135049068660734
4.02,-2.090958873180092,1.9047740809289484
4.03,-2.071469647284133,1.9924578782610245
4.04,-2.051122203080646,2.0763857210362753
4.05,-2.0299549696833425,2.1563899086724994
4.06,-2.0080079714379266,2.23230784410281
4.07,-1.985322899134192,2.303981333372478
4.08,-1.9619429244749946,2.371258963206213
4.09,-1.9379127775301939,2.433995505656378
4.1,-1.91327852034142,2.4920540344746644
4.11,-1.8880876281298797,2.5453058494726566
4.12,-1.8623887281800413,2.593631931279965
4.13,-1.8362316763876412,2.6369234842066613
4.14,-1.8096672726468557,2.675082735294575
4.15,-1.7827473232384872,2.70802391711242
4.16,-1.75552434541974,2.735673500449035
4.17,-1.7280516071900318,2.7579714918529485
4.18,-1.7003828328828543,2.774871051882277
4.19,-1.6725722145978572,2.786340105592273
4.2,-1.6446741311162303,2.7923602461097614
4.21,-1.6167431253669327,2.79292865189552
4.22,-1.5888336511699666,2.788056279917036
4.23,-1.561000010875364,2.777769982179709
4.24,-1.5332961442352817,2.7621101268573116
4.25,-1.5057755226769771,2.741132736946185
4.26,-1.4784909908488109,2.714906737403687
4.27,-1.4514946182944737,2.6835159436418086
4.28,-1.4248375991411344,2.647056132771259
4.29,-1.3985700658691023,2.605636744436798
4.3,-1.372741048320842,2.559377968048886
4.31,-1.3473982567401577,2.5084120443136686
4.32,-1.3225880978190943,2.452880559651208
4.33,-1.2983554358179614,2.3929352589222734
4.34,-1.2747436599558906,2.3287357214580684
4.35,-1.2517944338242786,2.2604496320551832
4.36,-1.2295478051286337,2.1882509688566683
4.37,-1.208041954477842,2.1123197302757277
4.38,-1.1873133361211892,2.03284070536593
4.39,-1.1673964370151497,1.9500027039750747
4.4,-1.1483239360316884,1.8639979221334473
4.41,-1.1301264840653218,1.77502076453842
4.42,-1.1128328654941495,1.6832677505725044
4.43,-1.0964698143841778,1.5889360772309833
4.44,-1.0810621608968256,1.492223942647111
4.45,-1.066632690098182,1.3933290152425226
4.46,-1.053202267021605,1.2924490391474948
4.47,-1.0407897367317633,1.1897803536370704
4.48,-1.0294120255609938,1.085518653780097
4.49,-1.0190840782819248,0.9798576706830425
4.5,-1.0098189355713358,0.872989980011387
4.51,-1.0016277022000863,0.7651059153158298
4.52,-0.9945196027305934,0.6563943414396173
4.53,-0.9885019736078935,0.5470418357561115
4.54,-0.9835803003869318,0.43723336813669417
4.55,-0.9797582264407118,0.32715175229223004
4.56,-0.9770375757014648,0.21697819598443774
4.57,-0.9754183712220201,0.10689199868848477
4.58,-0.9748988476290781,-0.002929046084986538
4.59,-0.9754754737917374,-0.11230874952585125
4.6,-0.9771429590460898,-0.22107227710120989
4.61,-0.979894275574696,-0.32904609861168005
4.62,-0.9837206620662193,-0.43605788341586255
4.63,-0.9886116429475711,-0.5419363628443842
4.64,-0.9945550325777375,-0.6465113578983284
4.65,-1.0015369500680906,-0.7496136159424075
4.66,-1.0095418264567333,-0.8510749533883697
4.67,-1.018552415385457,-0.9507281251010752
4.68,-1.0285498050243425,-1.0484070621840311
4.69,-1.039513426250569,-1.1439468253382428
4.7,-1.0514210704376714,-1.2371839169449044
4.71,-1.064248897923943,-1.3279563591482686
4.72,-1.0779714621801857,-1.4161040597880536
4.73,-1.0925617221953448,-1.5014690425502717
4.74,-1.1079910730215623,-1.5838958479076055
4.75,-1.1242293661805827,-1.6632319266808497
4.76,-1.1412449461857856,-1.7393280600070449
4.77,-1.1590046831349086,-1.8120389096981568
4.78,-1.1774740145525513,-1.8812234453088832
4.79,-1.196616993952806,-1.9467456257542002
4.8,-1.2163963372523694,-2.0084748265487984
4.81,-1.236773490258655,-2.066286608671581
4.82,-1.2577086789816385,-2.120063144499233
4.83,-1.2791609977634104,-2.1696940137085847
4.84,-1.301088463058165,-2.2150766315637727
4.85,-1.3234481223459027,-2.2561169997905863
4.86,-1.3461961113246947,-2.292730144749749
4.87,-1.3692877819681053,-2.3248407457082365
4.88,-1.3926777635285545,-2.35238359207497
4.89,-1.4163201062691593,-2.3753040139026558
4.9,-1.440168347137114,-2.393558366020481
4.91,-1.46417566401627,-2.4071141966705434
4.92,-1.4882949473083171,-2.4159507617298206
4.93,-1.5124789582068172,-2.4200588867308253
4.94,-1.5366804076354563,-2.4194415067212915
4.95,-1.5608521112090221,-2.414113202891251
4.96,-1.584947076952491,-2.4041007539445465
4.97,-1.6089186494116416,-2.3894423583539686
4.98,-1.6327206072754534,-2.37018817295726
4.99,-1.6563072895793785,-2.346399261897039
5,-1.6796337037798856,-2.318148089367275
5,-1.6796337037798856,-2.318148089367275
