"time","PI.I.y","inertia1.phi","spring.phi_rel","spring.w_rel","inertia2.w","integrator.y"
0,-0.1,0,0.001,0,0,0
0.008,-0.1,0,0.001,0,0,0
0.016,-0.1,0,0.001,0,0,0
0.024,-0.1,0,0.001,0,0,0
0.032,-0.1,0,0.001,0,0,0
0.04,-0.1,0,0.001,0,0,0
0.048,-0.1,0,0.001,0,0,0
0.056,-0.1,0,0.001,0,0,0
0.064,-0.1,0,0.001,0,0,0
0.072,-0.1,0,0.001,0,0,0
0.08,-0.1,0,0.001,0,0,0
0.088,-0.1,0,0.001,0,0,0
0.096,-0.1,0,0.001,0,0,0
0.104,-0.1,0,0.001,0,0,0
0.112,-0.1,0,0.001,0,0,0
0.12,-0.1,0,0.001,0,0,0
0.128,-0.1,0,0.001,0,0,0
0.136,-0.1,0,0.001,0,0,0
0.144,-0.1,0,0.001,0,0,0
0.152,-0.1,0,0.001,0,0,0
0.16,-0.1,0,0.001,0,0,0
0.168,-0.1,0,0.001,0,0,0
0.176,-0.1,0,0.001,0,0,0
0.184,-0.1,0,0.001,0,0,0
0.192,-0.1,0,0.001,0,0,0
0.2,-0.1,0,0.001,0,0,0
0.208,-0.1,0,0.001,0,0,0
0.216,-0.1,0,0.001,0,0,0
0.224,-0.1,0,0.001,0,0,0
0.232,-0.1,0,0.001,0,0,0
0.24,-0.1,0,0.001,0,0,0
0.248,-0.1,0,0.001,0,0,0
0.256,-0.1,0,0.001,0,0,0
0.264,-0.1,0,0.001,0,0,0
0.272,-0.1,0,0.001,0,0,0
0.28,-0.1,0,0.001,0,0,0
0.288,-0.1,0,0.001,0,0,0
0.296,-0.1,0,0.001,0,0,0
0.304,-0.1,0,0.001,0,0,0
0.312,-0.1,0,0.001,0,0,0
0.32,-0.1,0,0.001,0,0,0
0.328,-0.1,0,0.001,0,0,0
0.336,-0.1,0,0.001,0,0,0
0.344,-0.1,0,0.001,0,0,0
0.352,-0.1,0,0.001,0,0,0
0.36,-0.1,0,0.001,0,0,0
0.368,-0.1,0,0.001,0,0,0
0.376,-0.1,0,0.001,0,0,0
0.384,-0.1,0,0.001,0,0,0
0.392,-0.1,0,0.001,0,0,0
0.4,-0.1,0,0.001,0,0,0
0.408,-0.1,0,0.001,0,0,0
0.416,-0.1,0,0.001,0,0,0
0.424,-0.1,0,0.001,0,0,0
0.432,-0.1,0,0.001,0,0,0
0.44,-0.1,0,0.001,0,0,0
0.448,-0.1,0,0.001,0,0,0
0.456,-0.1,0,0.001,0,0,0
0.464,-0.1,0,0.001,0,0,0
0.472,-0.1,0,0.001,0,0,0
0.48,-0.1,0,0.001,0,0,0
0.488,-0.1,0,0.001,0,0,0
0.496,-0.1,0,0.001,0,0,0
0.5000000001500057,-0.1,0,0.001,0,0,0
0.5000000001500057,-0.1,0,0.001,0,0,0
0.504,-0.09992889782686432,8.897944473529304e-7,9.991586369599479e-4,-5.811959662615497e-4,4.653056123287788e-5,0.0039999998499942015
0.512,-0.09945487856828177,1.7487867613111035e-5,9.856484593665843e-4,-0.0027847366346419053,9.656352387726844e-4,0.0119999998499942
0.52,-0.09862859313104917,6.285932266043574e-5,9.570268946975345e-4,-0.004170691192961847,0.0035062327843829325,0.019999999849994413
0.528,-0.09749786205718199,1.4178621397535734e-4,9.218291310320707e-4,-0.004483949830111507,0.007681128457368746,0.027999999849994312
0.536,-0.09611472519729188,2.5947252677733807e-4,8.870421437913915e-4,-0.004140899014373318,0.013252654303306893,0.0359999998499942
0.544,-0.09454325212415327,4.2232521826379347e-4,8.563051279335389e-4,-0.0035214303738221224,0.01993955209379607,0.04399999984999409
0.552,-0.09284997753350818,6.369977579989939e-4,8.308440559429322e-4,-0.0028463213494143453,0.027487744317240735,0.05199999984999401
0.56,-0.09109536481465991,9.095364849131691e-4,8.106254306118042e-4,-0.0022187063526533327,0.03568552504853149,0.059999999849994046
0.568,-0.08932982850359428,0.0012449828526051269,7.950963424725627e-4,-0.0016768058542591517,0.04436150148678059,0.06799999984999394
0.576,-0.08759312535622325,0.001647312536668378,7.835375427834965e-4,-0.0012265353468996424,0.05337854877165947,0.07599999984999395
0.584,-0.08591511370767288,0.002119511370614021,7.752387217303736e-4,-8.60763251613486e-4,0.06262764236448354,0.08399999984999396
0.592,-0.0843171133217085,0.0026637113308175544,7.695665805818301e-4,-5.680132703659566e-4,0.07202287916551744,0.09199999984999396
0.6,-0.08281339352474135,0.003281339349920747,7.659840008519402e-4,-3.367994410950108e-4,0.08149714890168644,0.09999999984999397
0.608,-0.08141261295139518,0.003973261291386205,7.640407760265192e-4,-1.5674815895244524e-4,0.09099863954164113,0.10799999984999398
0.616,-0.08011902079123077,0.0047399020741697336,7.633639522763907e-4,-1.879167686682312e-5,0.10048809148449259,0.11599999984999398
0.624,-0.07893344680755061,0.0055813446746015875,7.636484007711886e-4,8.476774195803785e-5,0.10993649157171995,0.12399999984999399
0.632,-0.07785424767890593,0.006497424760536811,7.646454469369514e-4,1.604078713907405e-4,0.11932290420712066,0.131999999849994
0.64,-0.0768778512435553,0.007487785115801524,7.661544710201325e-4,2.13468669717279e-4,0.12863307538295804,0.139999999849994
0.648,-0.07599939993302467,0.008551939983548392,7.680137830822408e-4,2.4846138695200836e-4,0.13785793700043178,0.147999999849994
0.656,-0.07521316755989789,0.009689316745035724,7.70093976524555e-4,2.6922423107877296e-4,0.14699252378022767,0.15599999984999402
